Metric,Value
Total Postings,783
Unique Job Titles,695
Unique Locations,248
Postings with Skills Listed,727
Unique Skills (Structured),124
Unique Skills (NLP-extracted),93
Top Role Category,Data Scientist
Top Skill,python
Top Region,Île-de-France
Most Common Experience,Not Specified
