region,AI Architect,AI Engineer,AI Manager / Lead,Consultant AI / Data,Data Analyst,Data Engineer,Data Scientist,DevOps / SRE,Full Stack Developer,GenAI Engineer,Intern / Apprentice,ML Engineer,NLP Engineer,Product Manager / Owner,Project Manager,Research / PhD,Software Engineer
Normandie,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Nouvelle-Aquitaine,0,2,1,0,0,1,6,0,0,0,1,1,1,0,0,0,2
Occitanie,2,3,4,1,1,0,6,0,1,0,2,2,0,0,1,1,1
Paris (75),0,4,2,1,1,6,2,0,1,0,4,0,0,0,0,1,0
Paris 12e (75),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pays de la Loire,1,1,0,0,1,0,3,0,1,0,0,0,0,0,0,2,0
Provence-Alpes-Côte d'Azur,0,4,1,0,0,1,3,4,0,0,2,1,0,0,1,0,1
Puteaux (92),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Saclay (91),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Saint-Denis (93),0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Saint-Pol-sur-Ternoise (62),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Toulouse (31),0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Télétravail,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Valbonne (06),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Villeneuve-d'Ascq (59),0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Vincennes (94),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Vélizy-Villacoublay (78),0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Île-de-France,6,19,25,6,8,6,77,1,5,3,18,20,1,1,4,16,16
