role_category,count
Data Scientist,141
Software Engineer,54
AI Engineer,50
Intern / Apprentice,47
AI Manager / Lead,46
Data Engineer,39
Data Analyst,37
ML Engineer,31
Research / PhD,27
DevOps / SRE,16
Full Stack Developer,16
Consultant AI / Data,16
AI Architect,13
Project Manager,11
GenAI Engineer,5
Product Manager / Owner,3
NLP Engineer,2
