Rank,Skill,Mentions
1,python,998
2,machine learning,811
3,sql,561
4,llm,416
5,ci/cd,342
6,rag,322
7,mlops,315
8,aws,314
9,azure,313
10,pytorch,282
11,agile,280
12,deep learning,278
13,git,266
14,gcp,258
15,docker,225
16,devops,219
17,nlp,214
18,tensorflow,203
19,generative ai,197
20,scala,189
