job_title,description,skills,experience,location,job_url,role_category,experience_level,region,nlp_extracted_skills
AI Engineer (H/F),"Sur un marché de plus en plus concurrentiel, le Groupe Foyer reste fidèle à ses valeurs : Confiance, Excellence, Innovation, Intégrité et Indépendance.Dans le cadre de la transformation Data & IA du Groupe Foyer, nous recherchons un(e) AI Engineer (H/F) pour concevoir, développer et déployer des solutions d’Intelligence Artificielle et d’IA générative à l’échelle du Groupe. Vous travaillerez sur des LLM, copilotes, agents et solutions d’automatisation à fort impact métier, avec un focus sur le développement et la mise en production. Vos responsabilités :Concevoir, développer et déployer des solutions GenAI : LLM, RAG, agents, copilotes et automatisations IA.Développer en Python des applications et services IA robustes, performants et orientés production.Intégrer les modèles IA aux systèmes internes via API, connectors, bases de données et applications métiers.Développer, consommer et documenter des API Data/IA.Utiliser et maintenir un registre de modèles (MLflow ou équivalent) pour assurer traçabilité, versioning et monitoring.Collaborer avec les Data Scientists, Data Engineers et équipes plateforme pour industrialiser et déployer les modèles.Mettre en place des mécanismes de supervision, d’optimisation et d’amélioration continue des solutions IA.Assurer la conformité avec les standards de sécurité, la gouvernance des données et les exigences de l’AI Act.Co‑construire, avec les métiers, des cas d’usage IA réalistes, mesurables et en ligne avec les priorités du Groupe. Votre profil :Vous êtes titulaire d’un Bac+5 en Intelligence Artificielle, Data Science, Informatique ou équivalent.Vous disposez de 3 à 6 ans d’expérience en développement IA/GenAI avec une forte appétence pour la mise en production.Vous maîtrisez Python et les frameworks IA (LangChain, HuggingFace, ou équivalents).Vous avez une expérience pratique des LLM, RAG, agents et intégrations via API.Vous possédez une bonne compréhension du Machine Learning et de ses contraintes d’industrialisation.Vous êtes à l’aise avec les bases SQL/NoSQL, la consommation d’API et les environnements distribués.Vous avez des connaissances cloud/DevOps (Docker, CI/CD), un atout apprécié.Vous utilisez naturellement les outils d’assistance au développement par IA.Vous savez vulgariser des concepts complexes et collaborer efficacement avec des profils non techniques.Vous êtes curieux(se), autonome, rigoureux(se) et orienté(e) résultats.Une expérience dans l’assurance ou la finance constitue un avantage.Vous maîtrisez le français et avez un niveau professionnel en anglais. Notre offre :Vous bénéficierez, entre autres, des avantages suivants :Un environnement de travail multiculturel, apprenant et innovant.Un système d’horaires flexible & télétravail.Un restaurant d’entreprise à tarif préférentiel.Une salle de sport avec coach.Une conciergerie.","CI/CD, DevOps, Docker, Generative AI, HuggingFace, LLM, LangChain, MLflow, Machine Learning, Python, RAG, SQL",Experience required,"None, None, Luxembourg",https://candidat.francetravail.fr/offres/recherche/detail/0311834,AI Engineer,Experience Required (Unspecified),None,"python, sql, nosql, machine learning, generative ai, llm, rag, langchain, agentsb, docker, ci/cd, devops, mlflow, api"
Full Stack Developer (m/f/d) – AI & ERP Solutions - Troisvierges (H/F),"Bienvenue chez notre client, MyPlus Solutions – ton partenaire pour la transformation digitale des PME.Nous sommes une entreprise logicielle innovant/ante basée à Troisvierges (LU). Nous concevons et développons des solutions ERP modernes, ainsi que des applications web et mobiles, afin d’aider les entreprises à garder une longueur d’avance. Nos technologies – allant de logiciels ERP performants à des applications mobiles sur mesure, en passant par des solutions de Business Intelligence – permettent d’optimiser les processus métiers de manier/ière efficace, durable et orientée résultats. Un axe stratégique majeur concerne l’évolution continue de notre AI Suite intégrée à nos systèmes ERP ainsi que la réalisation de projets d’intelligence artificielle sur mesure, visant à intégrer des fonctionnalités intelligentes directement dans les processus métiers existants. Grâce à des idées innovant/antes, des hiérarchies horizontales, un véritable esprit d’équipe et une large autonomie, nous construisons avec nos clients l’avenir numérique. Tu es passionné(e) par les technologies modernes, tu aimes concevoir des solutions créatives et tu souhaites participer activement au développement d’applications basées sur l’IA ? Alors tu es au bon endroit !Full Stack Developer (m/f/d) – AI & ERP SolutionsTroisvierges (LU) | Temps plein | Télétravail possible | CDI Tes missions:Tu développes et implémentes des solutions ERP, web et mobiles sur mesure pour nos clients – de la conception technique jusqu’à la mise en production. Tu es responsable de l’évolution et de l’adaptation continue de notre AI Suite intégrée à nos systèmes ERP et tu développes de nouvelles fonctionnalités intelligentes au sein de notre gamme de produits. Tu conçois et intègres des fonctionnalités basées sur l’intelligence artificielle (par exemple à partir de LLMs ou via des APIs d’IA) dans des applications et architectures existant/antes. Tu assures la maintenance, la performance, la stabilité et l’amélioration continue de nos solutions. Tu collabores étroitement avec l’équipe ainsi qu’avec notre référent technique et tu accompagnes les projets tout au long du cycle de développement logiciel. Ton profil :Tu es passionné(e) de technologie, tu aimes développer des solutions intelligentes et tu t’intéresses aux évolutions actuelles en intelligence artificielle ? Alors tu corresponds parfaitement à notre recherche. Nous recherchons également :Tu disposes de solides compétences en JavaScript / TypeScript et Angular.Tu as une expérience pratique avec MSSQL et/ou MySQL.Idéalement, tu as déjà travaillé avec des LLMs ou des APIs d’intelligence artificielle.Des connaissances en Java, C#, Ionic / Capacitor ou Astro constituent un atout.Tu maîtrises très bien l’allemand ou le français ; de bonnes bases en anglais sont souhaitées.Tu travailles de manier/ière structurée et orientée solution et tu aimes proposer tes propres idées.Tu es ouvert(e) aux nouvelles technologies, prêt(e) à apprendre en continu et tu te sens à l’aise aussi bien en équipe qu’en autonomie.Les profils en reconversion disposant d’une base technique solide et d’une forte capacité d’apprentissage sont également les bienvenus. Ce que nous t’offrons :Un environnement technologique moderne avec un fort accent sur l’IA et une grande liberté d’initiative.Des projets stimulants apportant une réelle valeur ajoutée à nos clients.Des horaires flexibles pour organiser ta journée selon tes préférences.La possibilité de télétravailler – organise ton travail là où tu es le/la plus efficace.Une équipe engagée et ouverte, qui collabore, apprend ensemble et célèbre les succès.Des opportunités de développement individuel – sur le plan technique, méthodologique et personnel. Intéressé(e) ?Envoie-nous ta candidatureNous nous réjouissons de faire ta connaissance. MyPlus Solutions - 2, Rue de Drinklange, L- Troisvierges - www.myplus-solutions.com","Java, JavaScript, MySQL, TypeScript",Experience required,"None, None, Luxembourg",https://candidat.francetravail.fr/offres/recherche/detail/9783324,Full Stack Developer,Experience Required (Unspecified),None,"java, javascript, typescript, c#, llm, mysql, api"
Chief Innovation And ai Officer - Saas Femme ou Homme H/F,"POSTE : Chief Innovation And ai Officer - Saas Femme ou Homme H/F
DESCRIPTION : Le/la Chief Innovation and AI Officer définit et pilote la stratégie globale en intelligence artificielle et innovation technologique de l'entreprise. Membre du COMEX, il/elle a la responsabilité d'accélérer la transformation vers une organisation « IA-native », déployer à l'échelle du groupe les initiatives d'intelligence artificielle et concevoir, sécuriser et faire évoluer l'ensemble des infrastructures IT et plateformes cloud.  
Missions clés1. Définir et exécuter la stratégie technologique et IA du Groupe
- Piloter la feuille de route Innovation à 5 ans, articulée avec les priorités stratégiques et produits du Groupe en combinant IA et excellence opérationnelle IT.
- Identifier les opportunités d'automatisation, d'optimisation et de création de valeur par la donnée et l'IA.
- Assurer la cohérence des choix technologiques avec les objectifs business, produits et clients.
 
2. Structurer la DSI et les infrastructures
- Diriger la DSI Groupe et garantir la performance, la sécurité et la disponibilité du SI et des infrastructures.
- Piloter les chantiers cloud, réseau, architecture applicative et data lake.
- Porter la stratégie cloud & containerisation pour garantir la performance et la scalabilité des infrastructures.
 
3. Acculturer et mobiliser l'organisation
- Porter en binôme avec les équipes RH et Communication un plan d'acculturation IA global : formation par rôle, certification, diffusion des bonnes pratiques.
- Fédérer et animer une communauté d'ambassadeurs IA dans chaque département (BU, corporate, ).
 
4. Accélérer les cas d'usage et l'innovation
- Initier et sponsoriser les projets IA prioritaires en lien direct avec les Business Units.
- Piloter un portefeuille de projets expérimentaux (POCs) et leur passage en production.
- Promouvoir une culture de l'innovation continue et mesurable.
 
5. Gouverner et mesurer l'impact
- Tenir la feuille de route consolidée Tech & IA du Groupe, et en assurer le suivi auprès du COMEX.
- Définir et suivre les KPI de performance IT et IA : disponibilité, productivité, ROI.
PROFIL : Disposant de plus de 15 ans d'expérience  dans le software, dont au moins 5 à un poste de direction, vous êtes exposé.e à des environnements internationaux, multi-BU et multiproduits.  
 Compétence clés Excellente maîtrise des technologies IA (LLMs, agents, etc.).Capacité à articuler vision stratégique et exécution opérationnelle.Leadership d'influence : capacité à embarquer COMEX, managers et équipes opérationnelles.Solide culture produit et compréhension fine des enjeux clients.  
Soft skillsVisionnaire, pédagogue, orienté.e impact.Capacité à fédérer et à incarner la transformation.Excellent.e communicant.e, capable de vulgariser des enjeux complexes.",Data Lake,Experience required,"Paris, Île-de-France, France",https://candidat.francetravail.fr/offres/recherche/detail/9884940,,Experience Required (Unspecified),Île-de-France,"scala, llm, agentsb"
DevOps - ai Platform Engineering H/F,"POSTE : DevOps - ai Platform Engineering H/F
DESCRIPTION : DEVOPS / AI PLATFORM ENGINEERING (H/F)
 Vitrolles (13)    Démarrage ASAP    CDI
 Anglais requis   Profil habilitable Europe (CPR au démarrage, pas d'habilitation à traiter)
 
STEP UP MARSEILLE recherche un ingénieur DevOps expérimenté pour piloter et faire évoluer une plateforme AI/MLOps critique, permettant le déploiement, le suivi et la gestion de modèles ML en production.
 
 Vos missions principales :
 
Maintenir et opérer la plateforme AI basée sur Kubernetes/OpenShift
 
Déployer et superviser les modèles ML, automatiser le déploiement, le scaling et la gestion
 
Concevoir, construire et maintenir des pipelines CI/CD (Tekton, Kubeflow) pour le retraining et l'inférence
 
Diagnostiquer et résoudre les incidents liés aux pods, pipelines ou allocation de ressources
 
Personnaliser et reconstruire les composants de la plateforme (workbench, runtime images)
 
Garantir la sécurité et la conformité des environnements de production
PROFIL : Compétences & expertise requises :
 Containerisation : Docker, orchestrateurs : Kubernetes / OpenShift
 DevOps : CI/CD, Infrastructure as Code, GitOps
 MLOps : Kubeflow, Elyra, gestion de modèles (LLMs un plus)
 Programmation : Python
 Connaissance de frameworks ML variés
 Anglais courant
 
 Pourquoi ce poste ?
 Projets stratégiques AI / ML dans un environnement critique
 Déploiement et gestion de plateforme innovante à fort impact
 
 Intéressé(e) ? Contactez-moi en MP ou par mail : @.**
 
 Merci pour vos partages !
 
#DevOps #AIPlatform #MLOps #OpenShift #Kubernetes #Python #Kubeflow #Tekton #StepUP  #Engineering #CI_CD","CI/CD, DEVOPS, DevOps, Docker, Kubernetes, MLOps, Python",Experience required,"Vitrolles, Provence-Alpes-Côte d'Azur, France",https://candidat.francetravail.fr/offres/recherche/detail/9986594,DevOps / SRE,Experience Required (Unspecified),Provence-Alpes-Côte d'Azur,"python, llm, docker, kubernetes, ci/cd, devops, mlops, kubeflow, git"
Senior Data Scientist Competitive Intelligence & Clinical Operations (LLMs & AI)- CDI (H/F),"Qui sommes-nous ?

Pierre Fabre est le 2ème laboratoire dermo-cosmétique mondial, le 2ème groupe pharmaceutique privé français et le leader des produits vendus hors prescription dans les pharmacies en France.

Son portefeuille compte plusieurs franchises médicales et marques internationales dont Pierre Fabre Oncologie, Pierre Fabre Dermatologie, Eau Thermale Avène, Klorane, Ducray, René Furterer, A-Derma, Naturactive et Pierre Fabre Oral Care.

Implanté depuis toujours en région Occitanie, fabricant plus de 95% de ses produits en France, le groupe emploie près de 10 000 collaborateurs dans le monde et distribue ses produits dans quelque 130 pays. Pierre Fabre est détenu à 86% par la Fondation Pierre Fabre, une fondation reconnue dutilité publique, et secondairement par ses collaborateurs à travers un plan dactionnariat salarié.

En 2021, Ecocert Environnement a évalué la démarche de responsabilité sociétale et environnementale du Groupe selon la norme ISO 26000 du développement durable et lui a attribué le niveau  Excellence .

Pierre Fabre est reconnu comme lun des  Meilleurs Employeurs du Monde 2021  par Forbes. Notre groupe est classé dans le Top 6 de lindustrie cosmétique et dans le Top 7 de lindustrie pharmaceutique dans le monde. Nous sommes convaincus que notre engagement et notre passion font préserver notre indépendance et vivre notre raison d'être.

Votre mission

We are seeking in Toulouse (Oncopole- Langlade location) a talented and highly motivated Senior Data Scientist - Competitive Intelligence & Clinical Operations with strong expertise in Large Language Models (LLMs), NLP, and agentic AI systems to build Pierre Fabres in silico Competitive Intelligence (CI) capabilities and scale advanced analytics for Clinical Operations (ClinOps).

As a key member of the Data Science & Biometry Department within Pierre Fabre R& D Medical Care, you will work closely with the Competitive Intelligence team to design and implement the computational foundations of CI. The architectural choices you make will define our CI capabilities for years to come.

You will also contribute to clinical development in oncology and rare diseases, operating at the interface with Clinical Operations.

The role sits within the Methods & Innovation team, responsible for cross-functional AI initiatives and advanced methodological development.

Your role within a pioneering company in full expansion:

Key Responsibilities

 * Partner with stakeholders to translate strategic and scientific questions into operational AI solutions.
 * Design and deploy advanced analytics solutions for competitive intelligence landscape analyses.
 * Build scalable CI tools to support strategic decision-making across drug discovery and clinical development programs.
 * Optimize the identification, characterization, and prioritization of investigational sites using heterogeneous internal and external data sources.
 * Design, develop, and deploy LLM-based agents for automated data collection, analysis, and synthesis.
 * Implement advanced NLP solutions (information extraction, classification, entity recognition, and document-level or cross-source summarization).
 * Build and maintain Retrieval-Augmented Generation (RAG) architectures leveraging vector databases and structured knowledge sources.
 * Contribute to agentic data pipelines for collection, normalization, fusion, and continuous enrichment.
 * Operate in cloud-based environments, integrating APIs, pipelines, and scalable compute resources.

This position is compatible with teleworking up to 2 days a week according to company rules.

We offer an attractive remuneration/benefits package: Incentives, profit-sharing, Pierre Fabre shareholding with matching contribution, health and provident insurance, 16 days of holidays (RTT) in addition to 25 days of personal holidays, public transport participation.

Qui êtes-vous ?

Your skills at the service of innovative projects:

Education

 * Masters degree or PhD in Data Science, Artificial Intelligence, Statistics, Computer Science, or a related field.

Experience

 * 45 years of experience in applied Data Science.
 * Strong hands-on experience with NLP and LLM-based systems, including agentic or autonomous workflows.
 * Experience working in cloud environments.
 * Prior exposure to pharma, biotech, or life sciences is required.

Technical Skills

 * Python proficiency and experience with machine learning frameworks (e.g., scikit-learn, PyTorch).
 * Strong knowledge of the NLP / LLM stack, including embeddings, fine-tuning, RAG architectures, and vector databases.
 * Solid data engineering fundamentals (APIs, web scraping, da","LLM, Machine Learning, NLP, PyTorch, Python, RAG, Scikit-learn",Entry level,"None, Occitanie, France",https://candidat.francetravail.fr/offres/recherche/detail/9708391,Data Scientist,Entry Level,Occitanie,"python, rb, scala, machine learning, nlp, llm, llm, rag, rag, fine-tuning, agentsb, pytorch, scikit-learn, data pipeline, api"
Platform Engineer - DevOps - Ocp - ai H/F,"POSTE : Platform Engineer - DevOps - Ocp - ai H/F
DESCRIPTION : Contexte de la Mission
 
Dans le cadre d'un projet innovant en Platform Engineering, ALTEN recherche un·e Platform Engineer spécialisé·e en DevOps, OpenShift (OCP) et AI pour rejoindre une équipe dynamique.
 
Objectif : Établir, exploiter et optimiser un environnement scalable et sécurisé pour le déploiement, la supervision et la gestion de modèles ML en production, en garantissant l'efficacité et la fiabilité du cycle de vie des modèles.
 
Missions Clés
 
- Maintenance et Opérations :
 
    - Assurer le support quotidien d'une plateforme AI basée sur Kubernetes/OpenShift.
    - Appliquer les mises à jour et évolutions des composants de la plateforme.
- Déploiement et Supervision :
 
    - Déployer et superviser des modèles AI dans un environnement Kube/OCP.
    - Automatiser les processus de déploiement, scaling et gestion des modèles ML.
- Gestion des Pipelines CI/CD :
 
    - Concevoir et maintenir des pipelines automatisés avec Tekton ou Kubeflow.
    - Implémenter des solutions pour l'intégration continue, la livraison continue et le monitoring.
- Support Technique :
 
    - Diagnostiquer et résoudre les incidents (crash de pods, allocation de ressources, etc.).
- Personnalisation et Sécurité :
 
    - Personnaliser et reconstruire les composants de la plateforme (images, outils, bibliothèques).
    - Garantir la conformité et la sécurité des environnements de production.
Modalités de la Mission
 
- Eligibilité habilitation secret défense obligatoire
- Type de contrat : Freelance / Consultant.
- Durée : 6 mois renouvelable
- Localisation :
    - 2-3 jours sur site en début de mission pour la montée en compétence.
    - Télétravail partiel possible par la suite.
- Environnement : Intégration au sein de la PSL Cloud et collaboration avec les équipes techniques.
- Type de contrat : CDI/ freelance
- Présentiel/ hybride à raison de plusieurs jours/semaine. PAS DE FULL REMOTE.
- Localisation : Vitrolles
- Démarrage : ASAP
- Séniorité: 8 ans+ post diplôme
 
Pourquoi Postuler ?
 
- Impact : Contribuer à des projets innovants en IA et DevOps.
- Flexibilité : Équilibre entre télétravail et présence sur site.
- Expertise : Accès à un écosystème technique de pointe et à des formations continues.
 
Processus de Recrutement
- Pré-qualification : Analyse des CV et entretien téléphonique.
- Entretien technique : Évaluation des compétences
- Entretien Business Manager et évaluation des soft skills
- Intégration : Démarrage rapide (ASAP).
PROFIL : Compétences et Qualifications
 
- Expertise Technique :
 
    - Maîtrise de Docker, Kubernetes et OpenShift.
    - Expérience en CI/CD, Infrastructure as Code et GitOps.
    - Connaissance des outils MLOps (Kubeflow, Elyra, LLM).
    - Compétences avancées en Python et familiarité avec les frameworks ML (TensorFlow, PyTorch, etc.).
- Soft Skills :
 
    - Autonomie, réactivité et capacité à travailler en équipe.
    - Sensibilité aux enjeux de sécurité et de performance.","CI/CD, DevOps, Docker, Kubernetes, LLM, MLOps, PyTorch, Python, TensorFlow",Experience required,"Vitrolles, Provence-Alpes-Côte d'Azur, France",https://candidat.francetravail.fr/offres/recherche/detail/9407059,DevOps / SRE,Experience Required (Unspecified),Provence-Alpes-Côte d'Azur,"python, scala, llm, tensorflow, pytorch, docker, kubernetes, ci/cd, devops, mlops, kubeflow, git"
Platform Engineer - Scale-Up en Hyper-Croissance Ai Cloud Openstack Blockchain H/F,"POSTE : Platform Engineer - Scale-Up en Hyper-Croissance Ai Cloud Openstack Blockchain H/F
DESCRIPTION : L'ENTREPRISE :
 
Scale-up en hyper-croissance, aujourd'hui indépendante et soutenue par un acteur américain majeur du cloud blockchain et de l'IA. Elle commercialise sa puissance de calcul haute performance (HPC) pour accompagner ses clients sur des projets IA, et blockchain.
 
Actuellement 60 collaborateurs dont 40 sur la partie tech, ils ont pour ambitions de recruter 100 personnes courant 2026.
 
- Création d'une équipe Kubernetes dédiée pour le PaaS interne.
- Poste pivot entre les équipes Infra, Delivery et IA/HPC.
- Objectif : stabiliser et industrialiser le déploiement applicatif.
 
LE POSTE :
 
Vous serez responsable de la conception, du déploiement et de la gestion de clusters Kubernetes pour des applications critiques.
 
Vous assurerez la disponibilité, la performance et la sécurité des environnements Kubernetes tout en automatisant les processus de déploiement et de gestion des conteneurs via des outils CI/CD.
 
Vous collaborerez étroitement avec les équipes de développement pour intégrer et optimiser les applications dans des environnements conteneurisés, et mettrez en oeuvre les meilleures pratiques en matière de surveillance, de logging et de traçabilité.
 
Intégré.e à l'équipe technique dite ""IA"", vous serez embarqué.e au sein d'un collectif bienveillant, dynamique et expérimenté.
 
Voici un aperçu de vos principales missions :
 
- Concevoir, déployer et gérer des clusters Kubernetes pour des applications critiques.
- Assurer la disponibilité, la performance et la sécurité des environnements Kubernetes.
- Automatiser les processus de déploiement et de gestion des conteneurs à l'aide de CI/CD.
- Collaborer avec les équipes de développement pour intégrer et optimiser les applications
- dans des environnements conteneurisés.
- Résoudre les problèmes complexes de performance et de sécurité liés aux infrastructures
- Kubernetes.
- Mettre en oeuvre les meilleures pratiques en matière de surveillance, de logging et de
- traçabilité des applications et des clusters.
- Former et accompagner les équipes techniques internes sur l'utilisation et l'optimisation de Kubernetes.
PROFIL : Hard skills :
 
- Expertise en Kubernetes (installation, administration, sécurité, monitoring).
- Maîtrise de Docker et des chaînes de conteneurisation.
- Automatisation des déploiements via Ansible / Helm / Terraform.
- Bon niveau sur la supervision et le troubleshooting (Prometheus, Grafana, Loki).
 
Soft skills :
 
- Esprit d'équipe et pédagogie pour partager les bonnes pratiques K8S.
- Capacité à travailler en environnement multi-projets à haute disponibilité.
- Anglais courant
 
LOCALISATION ET RÉMUNÉRATION :
 
- Poste basé Lyon centre
- 2 jours de TT proposés / semaine.
- 55-65K€ selon profil, expérience","Ansible, CI/CD, Docker, Grafana, Helm, Kubernetes, Terraform",Experience required,"Lyon, Auvergne-Rhône-Alpes, France",https://candidat.francetravail.fr/offres/recherche/detail/0041605,DevOps / SRE,Experience Required (Unspecified),Auvergne-Rhône-Alpes,"docker, kubernetes, terraform, ci/cd"
Senior Software Engineer - Equipe AI (F/H/NB) (H/F),"Rejoignez l'équipe Ubisoft AI Initiatives et contribuez à architecturer l'avenir du cycle de vie de l'information chez Ubisoft. Des pipelines avancés de hybrid search et RAG aux capacités complexes de agentic reasoning, nous concevons les outils qui transforment l'information brute en prises de décision rapides et éclairées. Si vous souhaitez repousser les limites de la collaboration entre humains et IA pour résoudre des problèmes complexes, ce rôle est fait pour vous.Nous recherchons un·e Senior Software Engineer expérimenté·e pour rejoindre notre équipe en charge du développement de systèmes back-end scalables qui alimentent ces applications IA de pointe.ResponsabilitésEn tant que Senior Software Engineer - AI Applications, vous jouerez un rôle clé dans la conception et la construction des services essentiels permettant nos solutions. Vous interviendrez à l'intersection de l'IA, des applications cloud d'entreprise, du traitement de données à grande échelle et de l'infrastructure cloud, avec de nombreuses opportunités de croissance et d'impact. Ce rôle requiert une bonne compréhension des architectures modernes, de l'intégration AI/ML et une réelle passion pour la résolution de problèmes complexes.Architecturer et développer des systèmes back-end : concevoir et implémenter des services back-end performants et scalables pour supporter les applications IA.Optimiser la performance : garantir un serving à faible latence et haut throughput pour les modèles IA, agents et APIs, en optimisant à la fois la vitesse et la fiabilité.Collaborer avec les équipes : travailler en partenariat avec les data scientists et ML engineers pour intégrer modèles IA et agents avancés en production, en assurant un déploiement et un monitoring fluides.Infrastructure cloud : construire et maintenir des solutions cloud-native utilisant des plateformes comme AWS ou Azure, avec un focus sur la scalabilité, la sécurité et la maîtrise des coûts.Leadership technique : mentorat d'ingénieurs juniors, code reviews, et contribution à la stratégie technique globale de l'équipe.Veille technologique : rester à jour sur les dernières tendances en IA, cloud computing et engineering, et proposer des idées innovantes.Rejoindre notre équipe en tant que Senior Software Engineer - AI Applications offre une opportunité unique de travailler sur des projets de pointe qui façonnent l'avenir de la technologie IA. Vous aurez la possibilité de :Vous engager dans un apprentissage continu pour rester à la pointe des avancées en IA.Prendre davantage de responsabilités et influencer la direction stratégique de nos produits IA tout en contribuant à une innovation à fort impact.","AWS, Azure, RAG",Entry level,"Saint-Mandé, Île-de-France, France",https://candidat.francetravail.fr/offres/recherche/detail/9836024,Software Engineer,Entry Level,Île-de-France,"scala, rag, agentsb, aws, azure, api"
Alternance - Consultant·e / AI Engineer Data & Intelligence Artificielle (H/F),"La Business Unit AIEn intégrant la BU AI, tu rejoins une communauté de près de 200 consultant·e·s IA &amp; Data qui accompagnent des clients grands comptes, en France et à l'international, sur l'ensemble de la chaîne de valeur de l'IA :Identification de cas d'usage IA à fort impact métierConception et industrialisation de plateformes Data &amp; IA robustesDéploiement de solutions GenAI et agentiques à grande échelleDéfinition de modèles de gouvernance IA responsables et conformesNotre approche combine excellence technologique, compréhension des enjeux métiers et maîtrise des contraintes réglementaires&#xa0;&#xa0;Ton rôle en alternanceEn tant qu'alternant·e Consultant·e / AI Engineer Data &amp; IA, tu interviendras au cœur des projets, de la conception à la mise en production des solutions.Tu pourras notamment être amené·ep>Participer à la conception et l'industrialisation de solutions Data &amp; IA (ML, GenAI, agents IA)Contribuer au développement de plateformes Data &amp; IA (data engineering, pipelines, MLOps/LLMOps)Travailler sur des cas d'usage à fort impact : copilotes métiers, assistants intelligents, automatisation de processusParticiper à l'intégration de solutions cloud &amp; data (AWS, Azure, GCP, Databricks, Dataiku, etc.)Collaborer avec des équipes pluridisciplinaires : data scientists, architectes, product owners, consultants métierMonter en compétences sur les enjeux de gouvernance, sécurité et IA responsableL'alternance est pensée comme une véritable expérience professionnalisante, avec un fort accompagnement et une montée en autonomie progressive","AWS, Azure, Databricks, GCP, Generative AI, MLOps",Entry level,"Puteaux, Île-de-France, France",https://candidat.francetravail.fr/offres/recherche/detail/9327897,AI Engineer,Entry Level,Île-de-France,"generative ai, llm, agentsb, databricks, aws, azure, gcp, mlops"
AI Product Owner (H/F),"En tant que Product Owner IA Générative, vous serez au cœur de l'innovation, chargé·e de définir et de piloter la création de produits basés sur l'intelligence artificielle générative. Vous travaillerez en étroite collaboration avec les équipes techniques et les parties prenantes, depuis l'idéation jusqu'au déploiement, en adoptant une approche centrée sur l'utilisateur et les méthodologies Agile/Lean Startup pour maximiser la valeur et l'impact.&#xa0;Vos missions :Stratégie Produit &amp; VisionDéfinition de la Vision Produit : Élaborer et communiquer une vision claire et inspirante pour les produits d'IA générative, en s'alignant sur la stratégie globale de l'entreprise et les besoins du marché.Identification des Opportunités : Analyser les tendances de l'IA générative et les retours clients pour identifier les cas d'usage à fort potentiel et les nouvelles fonctionnalités.Roadmap Produit : Construire et maintenir une roadmap produit dynamique, priorisant les initiatives et les fonctionnalités en fonction de leur valeur business et de leur faisabilité technique.&#xa0;Gestion du Backlog &amp; SpécificationsGestion du Backlog : Piloter le backlog produit en rédigeant des user stories claires, détaillées et actionnables, incluant les critères d'acceptation et les indicateurs de succès.Priorisation : Arbitrer les priorités avec les parties prenantes et l'équipe de développement pour assurer une livraison continue de valeur.Spécifications Fonctionnelles : Traduire les besoins utilisateurs en spécifications fonctionnelles précises, en tenant compte des capacités et des contraintes des modèles d'IA générative (LLM, RAG, etc.).&#xa0;Collaboration &amp; ExécutionInterface Équipe de Développement : Servir de point de contact principal pour l'équipe de développement, clarifier les exigences et résoudre les blocages pour assurer la bonne progression des sprints.Validation et Recette : Participer activement aux phases de test et de validation des fonctionnalités développées, en s'assurant de leur conformité avec la vision produit et les attentes utilisateurs.Lancement et Suivi : Préparer le lancement des nouvelles fonctionnalités, accompagner leur déploiement et suivre leurs performances via des indicateurs clés (KPIs).&#xa0;Veille &amp; Expertise IA&#xa0;Veille Technologique : Maintenir une veille constante sur les avancées de l'IA générative, les nouveaux modèles, outils et frameworks (LangChain, LlamaIndex, OpenAI, HuggingFace, etc.) pour intégrer les innovations pertinentes.Expertise Métier : Développer une compréhension approfondie des domaines d'application de l'IA générative et de leurs impacts potentiels sur les utilisateurs et le business.Communication et Sensibilisation : Vulgariser les concepts complexes de l'IA générative auprès des équipes et des parties prenantes non techniques, et promouvoir une culture d'innovation basée sur l'IA.","Agile, HuggingFace, LLM, LangChain, LlamaIndex, RAG",Entry level,"Levallois-Perret, Île-de-France, France",https://candidat.francetravail.fr/offres/recherche/detail/8814374,Product Manager / Owner,Entry Level,Île-de-France,"llm, rag, langchain, llamaindex, agile"
AI Products - DEVOTEAM DATA DRIVEN (H/F),"Missions détailléesDéployer des modèles de langage (LLM)&#xa0;Mettre en place des architectures RAG (Retrieval Augmented Generation)Administrer et maintenir l'infrastructure d'exécution et de déploiement des modèles via Kubernetes et de l'utilisation de l'Infrastructure-as-Code (Terraform, Helm).Garantir la fiabilité et la performance des modèles en production au travers de solutions de monitoring (Prometheus, Grafana, Datadog...)","Grafana, Helm, Kubernetes, LLM, RAG, Terraform",Entry level,"Levallois-Perret, Île-de-France, France",https://candidat.francetravail.fr/offres/recherche/detail/8812912,,Entry Level,Île-de-France,"llm, rag, rag, kubernetes, terraform"
